New_Genus,phoB,phoR,feoB,ptrA,glnA,glsF,amt,nirA,narB,ureC,cynS,mtnD,gdhA,arsC
Enugrolinea,174.0,107.0,4.0,34.0,12.0,12.0,36.0,24.0,13.0,13.0,22.0,12.0,10.0,6.0
Inmanicoccus,26.0,25.0,5.0,12.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,4.0,0.0,0.0
Lacustricoccus,8.0,9.0,3.0,5.0,0.0,2.0,7.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0
Leptococcus,87.0,47.0,10.0,23.0,14.0,8.0,12.0,9.0,17.0,2.0,0.0,0.0,1.0,0.0
Magnicoccus,20.0,10.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
Parasynechococcus,232.0,126.0,35.0,91.0,37.0,47.0,41.0,65.0,38.0,38.0,30.0,30.0,0.0,41.0
Pseudosynechococcus,208.0,155.0,46.0,63.0,38.0,32.0,34.0,63.0,39.0,34.0,36.0,29.0,1.0,35.0
Regnicoccus,61.0,45.0,11.0,23.0,22.0,14.0,13.0,9.0,15.0,10.0,5.0,6.0,0.0,9.0
Synechococcus,45.0,18.0,0.0,24.0,10.0,5.0,8.0,14.0,5.0,0.0,5.0,5.0,0.0,0.0
Synechospongium,101.0,65.0,6.0,53.0,20.0,39.0,27.0,27.0,29.0,32.0,25.0,0.0,0.0,0.0
Thermosynechococcus,75.0,29.0,20.0,12.0,6.0,6.0,11.0,7.0,7.0,3.0,1.0,0.0,0.0,0.0
