Genome,K-group
Thermosynechococcus elongatus PKUAC-SCTE542,0
Thermosynechococcus sp. CL-1,0
Thermosynechococcus sp. NK55a,0
Thermosynechococcus sp. PCC 6715,0
Thermosynechococcus vulcanus BP-1,0
Thermosynechococcus vulcanus NIES-2134,0
Inmanicoccus mediterranei RCC307,1
Inmanicoccus sp. TMED19,1
Lacustricoccus lacustris TousA,1
Lacustricoccus lacustris TousB,1
Magnicoccus indicus CB0205,1
Magnicoccus indicus XM-24,1
Magnicoccus sudiatlanticus CB0101,1
Pseudosynechococcus benguelii CC9311,1
Pseudosynechococcus equatorialis RS9917,1
Pseudosynechococcus pacificus WH 7803,1
Pseudosynechococcus sp. BS55D,1
Pseudosynechococcus sp. BS56D,1
Pseudosynechococcus sp. WH 8020,1
Pseudosynechococcus sp. WH 8101,1
Pseudosynechococcus subtropicalis WH 7805,1
Pseudosynechococcus sudipacificus UW179B,1
Pseudosynechococcus sudipacificus WH 8016,1
Leptococcus springii JA-2-3-Ba,2
Leptococcus yellowstonii 60AY4M2,2
Leptococcus yellowstonii 63AY4M1,2
Leptococcus yellowstonii 63AY4M2,2
Leptococcus yellowstonii 65AY640,2
Leptococcus yellowstonii 65AY6A5,2
Leptococcus yellowstonii 65AY6Li,2
Leptococcus yellowstonii JA-3-3Ab,2
Enugrolinea Euryhalinus PCC 11901,3
Enugrolinea euryhalinus BDU 130192,3
Enugrolinea euryhalinus NKBG042902,3
Enugrolinea euryhalinus OG1,3
Enugrolinea euryhalinus PCC 7002,3
Enugrolinea euryhalinus PCC 7117,3
Enugrolinea euryhalinus PCC 73109,3
Enugrolinea euryhalinus PCC 8807,3
Enugrolinea euryhalinus PCC_7002,3
Enugrolinea sp. NIES-970,3
Enugrolinea sp. NKBG15041c,3
Enugrolinea sp. PCC 7003,3
Synechospongium sp. SB0662_bin_14,4
Synechospongium sp. SB0666_bin_14,4
Synechospongium sp. SB0667_bin_8,4
Synechospongium sp. SB0668_bin_13,4
Synechospongium sp. SB0668_bin_15,4
Synechospongium sp. SB0675_bin_6,4
Synechospongium sp. SB0675_bin_7,4
Synechospongium sp. SB0677_bin_5,4
Synechospongium sp. SP3,4
Parasynechococcus africanus CC9605,5
Parasynechococcus chilensis CC9902,5
Parasynechococcus nordiatlanticus BL107,5
Parasynechococcus sp. CC9616,5
Parasynechococcus sp. KORDI-100,5
Parasynechococcus sp. KORDI-49,5
Parasynechococcus sp. KORDI-52,5
Parasynechococcus sp. UW106,5
Parasynechococcus sp. UW69,5
Synechococcus elongatus PCC 6301,6
Synechococcus elongatus PCC 7942,6
Synechococcus elongatus UTEX 2973,6
Synechococcus elongatus UTEX 3055,6
Synechococcus sp. PCC 11801,6
Regnicoccus antarcticus WH 5701,7
Regnicoccus sp. 1G10,7
Regnicoccus sp. 8F6,7
Regnicoccus sp. Ace-Pa,7
Regnicoccus sp. BO 8801,7
Regnicoccus sp. MW101C3,7
Regnicoccus sp. SynAce01,7
Pseudosynechococcus sp. GEYO,8
Pseudosynechococcus sp. MIT S9504,8
Pseudosynechococcus sp. MIT S9508,8
Pseudosynechococcus sp. MIT S9509,8
Pseudosynechococcus sp. NP17,8
Pseudosynechococcus sp. UW179A,8
Pseudosynechococcus gyrus RS9916,9
Pseudosynechococcus sp. MED-G135,9
Pseudosynechococcus sp. NAT40,9
Pseudosynechococcus sp. UW105,9
Pseudosynechococcus sp. UW140,9
Parasynechococcus marearabicus WH 8109,10
Parasynechococcus marenigrum WH 8102,10
Parasynechococcus marenigrum WH 8103,10
Parasynechococcus marenigrum YX04-3,10
Parasynechococcus sp. N19,10
Parasynechococcus sp. N26,10
Parasynechococcus sp. N32,10
Parasynechococcus sp. N5,10
Parasynechococcus sp. REDSEA-S01_B1,10
Parasynechococcus sp. REDSEA-S02_B4,10
Parasynechococcus sp. UW86,10
Pseudosynechococcus sp. MED-G68,10
